REWARD PER EPISODE FOR SARSA
Reward for episode 329: 75.
Reward for episode 330: 75.
Reward for episode 331: 35.
Reward for episode 332: 73.
Reward for episode 333: -42.
Reward for episode 334: -1000.
Reward for episode 335: -73.
Reward for episode 336: 53.
Reward for episode 337: -214.
Reward for episode 338: 6.
Reward for episode 339: 70.
Reward for episode 340: 71.
Reward for episode 341: 20.
Reward for episode 342: -1050.
Reward for episode 343: -1000.
Reward for episode 344: -761.
Reward for episode 345: -840.
Reward for episode 346: 25.
Reward for episode 347: -16.
Reward for episode 348: 16.
Reward for episode 349: -17.
Reward for episode 350: 38.
Reward for episode 351: 90.
Reward for episode 352: -30.
Reward for episode 353: -112.
Reward for episode 354: -60.
Reward for episode 355: -1050.
Reward for episode 356: 78.
Reward for episode 357: -837.
Reward for episode 358: -85.
Reward for episode 359: -59.
Reward for episode 360: -447.
Reward for episode 361: -839.
Reward for episode 362: 21.
Reward for episode 363: -184.
Reward for episode 364: -241.
Reward for episode 365: -1000.
Reward for episode 366: -744.
Reward for episode 367: -1000.
Reward for episode 368: -525.
Reward for episode 369: -1000.
Reward for episode 370: -1050.
Reward for episode 371: -1000.
Reward for episode 372: -394.
Reward for episode 373: -310.
Reward for episode 374: -811.
Reward for episode 375: 64.
Reward for episode 376: -12.
Reward for episode 377: -1050.
Reward for episode 378: -199.
Reward for episode 379: 74.
Reward for episode 380: -425.
Reward for episode 381: 55.
Reward for episode 382: 75.
Reward for episode 383: 43.
Reward for episode 384: -241.
Reward for episode 385: 59.
Reward for episode 386: -297.
Reward for episode 387: -181.
Reward for episode 388: 12.
Reward for episode 389: 68.
Reward for episode 390: 75.
Reward for episode 391: 74.
Reward for episode 392: 75.
Reward for episode 393: 75.
Reward for episode 394: 75.
Reward for episode 395: 75.
Reward for episode 396: 77.
Reward for episode 397: -310.
Reward for episode 398: -918.
Reward for episode 399: -1.
Reward for episode 400: 75.
Reward for episode 401: 77.
Reward for episode 402: 77.
Reward for episode 403: 76.
Reward for episode 404: 75.
Reward for episode 405: -300.
Reward for episode 406: -433.
Reward for episode 407: 18.
Reward for episode 408: -88.
Reward for episode 409: -49.
Reward for episode 410: 60.
Reward for episode 411: -24.
Reward for episode 412: 75.
Reward for episode 413: 13.
Reward for episode 414: 74.
Reward for episode 415: -1050.
Reward for episode 416: -419.
Reward for episode 417: -424.
Reward for episode 418: -49.
Reward for episode 419: 51.
Reward for episode 420: -797.
Reward for episode 421: 66.
Reward for episode 422: 71.
Reward for episode 423: 71.
Reward for episode 424: 63.
Reward for episode 425: 73.
Reward for episode 426: 39.
Reward for episode 427: 72.
Reward for episode 428: 2.
Reward for episode 429: -624.
Reward for episode 430: -1000.
Reward for episode 431: -548.
Reward for episode 432: -1000.
Reward for episode 433: -346.
Reward for episode 434: 36.
Reward for episode 435: -558.
Reward for episode 436: 15.
Reward for episode 437: -259.
Reward for episode 438: -519.
Reward for episode 439: -643.
Reward for episode 440: -66.
Reward for episode 441: -651.
Reward for episode 442: -1128.
Reward for episode 443: -1100.
Reward for episode 444: 47.
Reward for episode 445: 77.
Reward for episode 446: 88.
Reward for episode 447: -41.
Reward for episode 448: -585.
Reward for episode 449: -89.
Reward for episode 450: -118.
Reward for episode 451: 87.
Reward for episode 452: 7.
Reward for episode 453: 85.
Reward for episode 454: 68.
Reward for episode 455: -64.
Reward for episode 456: 6.
Reward for episode 457: 62.
Reward for episode 458: 65.
Reward for episode 459: 69.
Reward for episode 460: 69.
Reward for episode 461: 69.
Reward for episode 462: 69.
Reward for episode 463: 69.
Reward for episode 464: 69.
Reward for episode 465: 69.
Reward for episode 466: 69.
Reward for episode 467: -294.
Reward for episode 468: 68.
Reward for episode 469: 6.
Reward for episode 470: -1050.
Reward for episode 471: -1000.
Reward for episode 472: -1000.
Reward for episode 473: -1000.
Reward for episode 474: -1000.
Reward for episode 475: -690.
Reward for episode 476: -607.
Reward for episode 477: 54.
Reward for episode 478: 70.
Reward for episode 479: -1050.
Reward for episode 480: -1000.
Reward for episode 481: -1000.
Reward for episode 482: -1050.
Reward for episode 483: -1000.
Reward for episode 484: -1000.
Reward for episode 485: -1050.
Reward for episode 486: -1000.
Reward for episode 487: -1000.
Reward for episode 488: -1000.
Reward for episode 489: -842.
Reward for episode 490: 53.
Reward for episode 491: 85.
Reward for episode 492: -1050.
Reward for episode 493: -1000.
Reward for episode 494: -1000.
Reward for episode 495: -1000.
Reward for episode 496: -1000.
Reward for episode 497: -1000.
Reward for episode 498: -1050.
Reward for episode 499: -1000.
Reward for episode 500: -1000.
Reward for episode 501: -1050.
Reward for episode 502: -1100.
Reward for episode 503: -1000.
Reward for episode 504: -1000.
Reward for episode 505: -1000.
Reward for episode 506: -1000.
Reward for episode 507: -1000.
Reward for episode 508: -1000.
Reward for episode 509: -1000.
Reward for episode 510: -1000.
Reward for episode 511: -1000.
Reward for episode 512: -1000.
Reward for episode 513: -835.
Reward for episode 514: -1000.
Reward for episode 515: -1000.
Reward for episode 516: -1000.
Reward for episode 517: -1050.
Reward for episode 518: -1000.
Reward for episode 519: -1000.
Reward for episode 520: -1000.
Reward for episode 521: -1100.
Reward for episode 522: -1000.
Reward for episode 523: -1000.
Reward for episode 524: -1050.
Reward for episode 525: -1000.
Reward for episode 526: -844.
Reward for episode 527: -909.
Reward for episode 528: -1000.
Reward for episode 529: -1100.
Reward for episode 530: -1000.
Reward for episode 531: 16.
Reward for episode 532: 18.
Reward for episode 533: -1000.
Reward for episode 534: -1000.
Reward for episode 535: -1000.
Reward for episode 536: -133.
Reward for episode 537: -189.
Reward for episode 538: -802.
Reward for episode 539: 61.
Reward for episode 540: 65.
Reward for episode 541: -410.
Reward for episode 542: 69.
Reward for episode 543: 71.
Reward for episode 544: -37.
Reward for episode 545: 64.
Reward for episode 546: 75.
Reward for episode 547: 75.
Reward for episode 548: 73.
Reward for episode 549: 73.
Reward for episode 550: -734.
Reward for episode 551: -1000.
Reward for episode 552: -95.
Reward for episode 553: 75.
Reward for episode 554: 75.
Reward for episode 555: -127.
Reward for episode 556: -86.
Reward for episode 557: 63.
Reward for episode 558: -482.
Reward for episode 559: 73.
Reward for episode 560: 73.
Reward for episode 561: -46.
Reward for episode 562: 73.
Reward for episode 563: -213.
Reward for episode 564: -880.
Reward for episode 565: -527.
Reward for episode 566: 71.
Reward for episode 567: 73.
Reward for episode 568: 73.
Reward for episode 569: 73.
Reward for episode 570: 73.
Reward for episode 571: 73.
Reward for episode 572: 75.
Reward for episode 573: 74.
Reward for episode 574: -1000.
Reward for episode 575: -1100.
Reward for episode 576: -1000.
Reward for episode 577: -1000.
Reward for episode 578: -1000.
Reward for episode 579: -1000.
Reward for episode 580: -1000.
Reward for episode 581: -1050.
Reward for episode 582: -1000.
Reward for episode 583: -243.
Reward for episode 584: -313.
Reward for episode 585: -1000.
Reward for episode 586: -1000.
Reward for episode 587: -862.
Reward for episode 588: -1000.
Reward for episode 589: -87.
Reward for episode 590: -1000.
Reward for episode 591: -242.
Reward for episode 592: -363.
Reward for episode 593: -25.
Reward for episode 594: 75.
Reward for episode 595: 72.
Reward for episode 596: 75.
Reward for episode 597: 75.
Reward for episode 598: 75.
Reward for episode 599: 75.
Reward for episode 600: 75.
Reward for episode 601: 75.
Reward for episode 602: 75.
Reward for episode 603: 75.
Reward for episode 604: 75.
Reward for episode 605: 75.
Reward for episode 606: 75.
Reward for episode 607: 75.
Reward for episode 608: 75.
Reward for episode 609: 71.
Reward for episode 610: 75.
Reward for episode 611: 75.
Reward for episode 612: 75.
Reward for episode 613: 75.
Reward for episode 614: 73.
Reward for episode 615: 75.
Reward for episode 616: 75.
Reward for episode 617: 74.
Reward for episode 618: -1000.
Reward for episode 619: 7.
Reward for episode 620: 34.
Reward for episode 621: 77.
Reward for episode 622: -1000.
Reward for episode 623: 75.
Reward for episode 624: -163.
Reward for episode 625: 0.
Reward for episode 626: -153.
Reward for episode 627: -1000.
Reward for episode 628: -1050.
Reward for episode 629: -1000.
Reward for episode 630: -1000.
Reward for episode 631: -1000.
Reward for episode 632: -1050.
Reward for episode 633: -1000.
Reward for episode 634: -1000.
Reward for episode 635: -322.
Reward for episode 636: 43.
