REWARD PER EPISODE FOR Q-LEARNING
Reward for episode 574: 89.
Reward for episode 575: 91.
Reward for episode 576: 88.
Reward for episode 577: 90.
Reward for episode 578: 91.
Reward for episode 579: 90.
Reward for episode 580: 88.
Reward for episode 581: 91.
Reward for episode 582: 89.
Reward for episode 583: 91.
Reward for episode 584: 90.
Reward for episode 585: 89.
Reward for episode 586: 90.
Reward for episode 587: 91.
Reward for episode 588: 86.
Reward for episode 589: 88.
Reward for episode 590: 91.
Reward for episode 591: 89.
Reward for episode 592: 91.
Reward for episode 593: 90.
Reward for episode 594: 91.
Reward for episode 595: 89.
Reward for episode 596: 90.
Reward for episode 597: 86.
Reward for episode 598: 90.
Reward for episode 599: 89.
Reward for episode 600: 87.
Reward for episode 601: 91.
Reward for episode 602: 91.
Reward for episode 603: 88.
Reward for episode 604: 87.
Reward for episode 605: 89.
Reward for episode 606: 91.
Reward for episode 607: 89.
Reward for episode 608: 88.
Reward for episode 609: 91.
Reward for episode 610: 86.
Reward for episode 611: 90.
Reward for episode 612: 89.
Reward for episode 613: 87.
Reward for episode 614: 91.
Reward for episode 615: 91.
Reward for episode 616: 90.
Reward for episode 617: 90.
Reward for episode 618: 91.
Reward for episode 619: 90.
Reward for episode 620: 91.
Reward for episode 621: 89.
Reward for episode 622: 91.
Reward for episode 623: 89.
Reward for episode 624: 85.
Reward for episode 625: 83.
Reward for episode 626: 85.
Reward for episode 627: 90.
Reward for episode 628: 87.
Reward for episode 629: 91.
Reward for episode 630: 90.
Reward for episode 631: 88.
Reward for episode 632: 87.
Reward for episode 633: 89.
Reward for episode 634: 90.
Reward for episode 635: 91.
Reward for episode 636: 91.
Reward for episode 637: 90.
Reward for episode 638: 89.
Reward for episode 639: 89.
Reward for episode 640: 88.
Reward for episode 641: 87.
Reward for episode 642: 89.
Reward for episode 643: 86.
Reward for episode 644: 76.
Reward for episode 645: 89.
Reward for episode 646: 88.
Reward for episode 647: 86.
Reward for episode 648: 86.
Reward for episode 649: 90.
Reward for episode 650: 91.
Reward for episode 651: 91.
Reward for episode 652: 90.
Reward for episode 653: 89.
Reward for episode 654: 89.
Reward for episode 655: 90.
Reward for episode 656: 91.
Reward for episode 657: 88.
Reward for episode 658: 85.
Reward for episode 659: 90.
Reward for episode 660: 90.
Reward for episode 661: 90.
Reward for episode 662: 89.
Reward for episode 663: 89.
Reward for episode 664: 88.
Reward for episode 665: 90.
Reward for episode 666: 89.
Reward for episode 667: 90.
Reward for episode 668: 88.
Reward for episode 669: 87.
Reward for episode 670: 91.
Reward for episode 671: 85.
Reward for episode 672: 88.
Reward for episode 673: 91.
Reward for episode 674: 86.
Reward for episode 675: 91.
Reward for episode 676: 91.
Reward for episode 677: 87.
Reward for episode 678: 89.
Reward for episode 679: 85.
Reward for episode 680: 91.
Reward for episode 681: 89.
Reward for episode 682: 87.
Reward for episode 683: 89.
Reward for episode 684: 90.
Reward for episode 685: 87.
